구분,QA
데이터 다루기,"a = 'hello'
b = 'world'
hw = a + ' ' + b
hw

이런식으로 출력하면 'hello world'라고 나오는데

a = 'hello'
b = 'world'
hw = a + ' ' + b
print(hw)

할땐 hello world라고 만 나오는데 print()함수로 출력하면 문자열값만 나오게 되는 건가요??안녕하세요 황희찬 에이블러님.

위 hw와, print(hw)의 차이점을 질문해주신 것으로 생각됩니다.

엄밀히 이야기 하자면 위 hw 만 기재한 것은 출력에 해당하지 않습니다.
파이썬 언어는 인터프리터 언어입니다. 
이 인터프리터 라는 특성은 무엇보다 한줄 단위로 실행된다는 특성이 있는데요, 
Java, C언어 처럼 다른 언어는 실행되기 전에  우리가 작성한 소스코드를 통째로 컴퓨터가 알아들을 수 있는 언어로 변경해주는 컴파일이라는 작업을 선수로 갖습니다.

따라서 hw 을 적었는데 우리한테 표시가 되는 것은 단순히 파이썬에 특성 때문에 가능한 것입니다.
또한, hw를 맨 마지막에 적었기 때문에 안에있는 문자열 이라는 값이 표시되게 되는 것 입니다.
현재 코드에서는 'hello world' 라고 ''를 붙여 문자열 표기가 추가된 것이라고 말씀드릴 수 있습니다.

따라서 출력을 원한다면 print(hw)로 기재하는 것이 우수 코드 방식이며

예시로 
	
a = 'hello'
b = 'world'
hw = a + ' ' + b
hw
c = 10


처럼 hw 아래에 다른 코드가 있다면 출력되지 않는 것을 볼 수 있습니다.
단순히 hw 라고 적은 것은 어느동작도 명시하지 않았기에 무시가 되는 것이지요.
print() 함수로 출력하는 것은 문자열로 나오는 것이 아닌, 
print()에 사용한  변수의 값을 출력하는 것 입니다.

감사합니다."
데이터 다루기,"메소드에 대해서 질문드립니다!

문제) 변수 a에 'I love you'를 저장하고 모든 문자를 대문자로 변환하여 출력하세요.
제 풀이) 
a = 'i love you'
a.upper()
print(a)

이렇게 할 경우 'i love you' 가 출력되는데,  "".upper()"" 이라는 메소드 출력값이 a에 저장되지 않고 바로 값을 넘겨주기 때문에 그런건가요? 
그래서 변수 a 저장 뒤 1) a.upper() 또는 2) print(a.upper()) 을 해야 맞는건가요?안녕하세요 유선훈 에이블러님.

문의 마지막 부분에 에이블러님께서 말씀해 주셨듯이
a.upper() 의 결과 값을 a에 저장하지 않으셨기 때문에
그 상태에서 a를 출력하는 print(a) 를 실행하면 
처음에 a에 저장된 문자열 'i love you' 가 그대로 출력되는 것입니다.

해결 방법 역시 에이블러님께서 말씀하신 대로
1)
a = 'i love you'
a = a.upper()
print(a)
처럼 a.upper() 의 결과 값을 a에 저장한 후 print(a)로 출력하거나

2)
a = 'i love you'
print(a.upper())
처럼 a.upper() 의 결과 값을 바로 출력할 수 있게 print(a.upper()) 를 하는 것입니다.

감사합니다."
데이터 다루기,"아나콘다 프롬프트 실행 후 CD -&gt; PYTHON을 실행 했을 때 실행이 안됩니다.안녕하세요 김수현 에이블러님

에이블러님의 문제 상황에 대한 스크린샷이 없어 어떤 오류인지 잘 모르겠습니다.
우선 진입 경로에 대한 문제라고 이해하고 답변을 드리겠으니, 만약 이 때문이 아니거나
해결이 되지 않으셨다면 다시 문의 올려주시기 바랍니다!

우선 Python이라는 폴더의 위치를 확인해야 합니다.
Python 폴더를 우클릭 -> 속성 -> 위치 를 확인 후 복사하고 그 뒤에 Python 을 붙이면 폴더의 위치가 됩니다.
만약 강사님께서 알려주신 대로 Python 폴더를 생성했을 경우 폴더 위치는 C:\Python 일 것입니다.

아나콘다 프롬프트를 실행 후 cd 뒤에 Python 폴더의 위치를 입력해 보시기 바랍니다.
위의 예시대로라면 C:\Python를 입력하시면 됩니다.

위의 과정대로 실행하셨는데도 안된다면 다시 문의 주시기 바랍니다.
감사합니다."
데이터 다루기,"안녕하세요!
어제 복습을 위해 복습강의를 열었는데요 동영상 플레이하는 막대바?가 없어서
긴강의를 전부 다 다시 들어야 하더라구요  어려운 부분을 발췌해서 듣고 싶은데 막대바를 추가해주실 수 없을까요?안녕하세요 장민정 에이블러님,

주말에도 복습하시는 모습이 정말 멋지세요.
막대바가 안보여서 불편하셨겠어요. 
강의 복습하기에 막대바 생성 관련하여 답변드립니다.
번거롭겠지만 막대바 생성은 강의영상을 30초~1분 정도 들으시고 다시 재접속 하셔서 이어보시면 막대바 생성이 되겠습니다!

감사합니다.
오늘도 좋은 하루 보내세요:)"
데이터 다루기,"문제)리스트 a에 23, 3, 16, 45, 11을 저장하고, append()로 99를 추가한 뒤, 리스트 + 리스트 형태를 사용하여 100을 추가하세요.
리스트a = [23, 3, 16, 45, 11]
리스트a = 리스트a.append(99) + list(100)
print(리스트a)

오류가 뜨는데 어디부분을 수정해야 하나요??안녕하세요 인환님

a = [23, 3, 16, 45, 11]
a = a.append(99) + list(100)

상기 코드에서 에러가 발생하는 이유는,
1. a = a.append(99)
2. list(100)
때문입니다.

.append( )는 리스트에 값을 '추가만' 해 줄 뿐 리스트 자체는 아닙니다.
그래서 type을 살펴보면 NoneType으로 나올 것입니다.

list( )로 리스트를 만들 경우, list( ) 안에 들어가는 값은 순차적으로 값을 꺼낼 수 있어야 합니다.
그래서 range( ) 와 함께 사용했던 것입니다. ex) list( range(1, 101) )

코드를 동작시키려면 아래의 예시처럼 하시면 됩니다.
a = [23, 3, 16, 45, 11]
a.append(99)
a = a + [ 100 ]
print( a )

감사합니다 : )"
데이터 다루기,"딕셔너리에서 key는 중복되는데 value가 중복 안되는 경우엔 어떻게 되나요??안녕하세요 황희찬 에이블러님.

만약 딕셔너리를 선언할 때, key를 중복하였는데 value가 중복되지 않았을 경우에는
해당 key로 마지막에 선언된 value가 입력되게 됩니다.
만약 한 라인에서 선언할 경우에는 제일 오른쪽에 있는 값이 입력되게 되고요.
이는 key를 통해 value를 얻는 딕셔너리의 특징때문에 중복을 허용하지 않기 때문입니다.
다만 이후에 다른 방식을 통해, 객체 혹은 리스트를 이용해 중복된 key를 만들 수는 있습니다.
하지만 해당 내용을 실용성이 떨어지고, key-value를 위해 만들어진 자료구조인 딕셔너리와 동떨어진 부분임으로 중복된 키를 만들 수는 있구나 정도로만 알아주시면 되겠습니다.

감사합니다."
데이터 다루기,"반환은 반영이 안 되는 거고, 값을 받는 건 반영이 되는 거죠?? 그리고 pop외의 메소드로는 리스트에 값을 반영 못 시키는 거고요...? 이게 너무 헷갈립니다..!안녕하세요 박지현 에이블러님:)

pop은 리스트에서 원소 하나를 지우면서 리스트에 반영을 하고
제거한 원소를 다른 변수에 반환할 수 있는 메소드 입니다.

pop외에도 리스트에 반영할 수 있는 메소드는 append(), sort() 등이 있습니다.

문의 주신 내용에 도움이 되셨으면 좋겠습니다:)
"
데이터 다루기,"주말에  이해가 안된 부분만 볼려고 하는데 혹시 그 부분만 볼 수 없나요? 무조건 앞에서부터 봐야하는건가요?안녕하세요 최현우 에이블러님,

주말에도 복습하시는 모습이 정말 멋지세요.
막대바가 안보여서 불편하셨겠어요. 
번거롭겠지만 막대바 생성은 강의영상을 30초~1분 정도 들으시고 다시 접속 하셔서 이어보시면 막대바 생성이 되어 원하시는 부분 시청 가능하십니다!

감사합니다.
오늘도 좋은 하루 보내세요:)"
데이터 다루기,"member = {'이름': '홍길동', 
          '취미': ['독서', '여행', '걷기']}
딕셔너리에서 리스트에서 요소 존재 확인 시 
print('여행' in member['취미'])
상기 구문을 사용하면 된다고 하셨는데, 

print('홍길동' in member['이름'])에서도 결과값이 true로 나온 걸로 봐서,
'홍길동'도 하나의 요소로 구성된 리스트로 보면 되는 건지 궁금합니다!!안녕하세요 김영화 에이블러님
딕셔너리의 value값의 자료형에 대해서 질문을 주셨는데요.
딕셔너리의 value값은 가변적으로 리스트도 될 수 있지만, 튜플이 될 수도 있고, 변수가 될 수도 있습니다.
따라서 딕셔너리와 리스트는 엄연히 다른 자료구조이며, 딕셔너리의 value값으로 리스트가 올 순 있지만 value의 자료형이 반드시 리스트라고는 할 수 없습니다.
감사합니다."
데이터 다루기,"안녕하세요. 수업 내용 질문드립니다!
코드
# 평균 구하기
stu01['mean'] = sum(stu01['score'])/len(stu01['score'])
stu02['mean'] = sum(stu02['score'])/len(stu02['score'])
stu03['mean'] = sum(stu03['score'])/len(stu03['score'])

# 확인
print(stu01)
print(stu02)
print(stu03)

--&gt;결과값
{'no': 11, 'name': '홍길동', 'score': [92, 96, 98], 'mean': 95.33333333333333}
{'no': 12, 'name': '한사랑', 'score': [98, 64, 100], 'mean': 87.33333333333333}
{'no': 13, 'name': '일지매', 'score': [88, 84, 92], 'mean': 88.0}

여기에서 mean을 소수점 첫째자리까지 나타나게 하는 방법은 없나요?
감사합니다안녕하세요 홍연기 에이블러님:)

소수점 첫째자리까지 나타나게 하는 방법을 문의 주셨군요!!

stu01['mean'] = float('{:.1f}'.format(sum(stu01['score'])/len(stu01['score'])))

format구문을 이용하시면 될 것 같습니다. 

float으로 우변을 묶는 이유는 format의 반환 값은 float이 아니라 str이기 때문입니다

문의주신 질문에 도움이 되셨으면 좋겠습니다 :)"
